"StateAbbr","Location.ID","Location","Value","Rank","Anomaly..1901.2000.base.period.","X1901.2000.Mean","StateDesc","County"
"AL","AL-033","Colbert County",62.1333,125,2.2068,59.9,"Alabama","Colbert County"
"AL","AL-035","Conecuh County",67.875,125,2.4618,65.4,"Alabama","Conecuh County"
"AL","AL-037","Coosa County",64.65,125,2.3801,62.3,"Alabama","Coosa County"
"AL","AL-039","Covington County",67.8583,127,2.2993,65.6,"Alabama","Covington County"
"AL","AL-041","Crenshaw County",66.7667,123,2.3513,64.4,"Alabama","Crenshaw County"
"AL","AL-043","Cullman County",63.0083,127,2.7022,60.3,"Alabama","Cullman County"
"AL","AL-045","Dale County",68.0583,128,2.3827,65.7,"Alabama","Dale County"
"AL","AL-127","Walker County",63.675,123,2.0565,61.6,"Alabama","Walker County"
"AL","AL-129","Washington County",67.1333,120,1.7676,65.4,"Alabama","Washington County"
"AL","AL-131","Wilcox County",67.35,128,2.6423,64.7,"Alabama","Wilcox County"
"AL","AL-133","Winston County",62,121,1.7678,60.2,"Alabama","Winston County"
"AL","AL-105","Perry County",65.825,126,2.2408,63.6,"Alabama","Perry County"
"AL","AL-107","Pickens County",64.8917,117,1.8098,63.1,"Alabama","Pickens County"
"AL","AL-109","Pike County",66.8333,123,2.1882,64.6,"Alabama","Pike County"
"AL","AL-085","Lowndes County",67.4333,128,2.8625,64.6,"Alabama","Lowndes County"
"AL","AL-087","Macon County",66.4083,126,2.371,64,"Alabama","Macon County"
"AL","AL-089","Madison County",62.15,125,2.2285,59.9,"Alabama","Madison County"
"AL","AL-091","Marengo County",66.0667,121,1.7764,64.3,"Alabama","Marengo County"
"AL","AL-093","Marion County",62.5417,117,1.791,60.8,"Alabama","Marion County"
"AL","AL-095","Marshall County",62.6917,125,2.3574,60.3,"Alabama","Marshall County"
"AL","AL-097","Mobile County",68.8167,128,2.3769,66.4,"Alabama","Mobile County"
"AL","AL-099","Monroe County",67.95,128,2.8242,65.1,"Alabama","Monroe County"
"AL","AL-101","Montgomery County",67.2,126,2.7503,64.4,"Alabama","Montgomery County"
"AL","AL-103","Morgan County",62.6,126,2.382,60.2,"Alabama","Morgan County"
"AL","AL-113","Russell County",66.4583,127,2.2592,64.2,"Alabama","Russell County"
"AL","AL-115","St. Clair County",63.9583,126,2.8144,61.1,"Alabama","St. Clair County"
"AL","AL-117","Shelby County",64.525,125,2.4854,62,"Alabama","Shelby County"
"AL","AL-111","Randolph County",63.1917,127,2.7222,60.5,"Alabama","Randolph County"
"AL","AL-121","Talladega County",64.2833,125,2.5159,61.8,"Alabama","Talladega County"
"AL","AL-123","Tallapoosa County",64.4333,126,2.2918,62.1,"Alabama","Tallapoosa County"
"AL","AL-125","Tuscaloosa County",64.825,119,1.78,63,"Alabama","Tuscaloosa County"
"AL","AL-119","Sumter County",65.625,118,1.5949,64,"Alabama","Sumter County"
"AR","AR-001","Arkansas County",63.3667,106,1.2312,62.1,"Arkansas","Arkansas County"
"AR","AR-045","Faulkner County",61.0667,84,0.5498,60.5,"Arkansas","Faulkner County"
"AR","AR-047","Franklin County",59.6917,81,0.4563,59.2,"Arkansas","Franklin County"
"AR","AR-049","Fulton County",57.775,98,1.228,56.5,"Arkansas","Fulton County"
"AR","AR-051","Garland County",61.6833,97,0.9206,60.8,"Arkansas","Garland County"
"AR","AR-053","Grant County",62.425,75,0.3657,62.1,"Arkansas","Grant County"
"AR","AR-055","Greene County",59.85,92,0.8825,59,"Arkansas","Greene County"
"AR","AR-057","Hempstead County",62.9083,82,0.3678,62.5,"Arkansas","Hempstead County"
"AR","AR-059","Hot Spring County",62.3917,88,0.6645,61.7,"Arkansas","Hot Spring County"
"AR","AR-061","Howard County",61.8,89,0.5453,61.3,"Arkansas","Howard County"
"AR","AR-063","Independence County",59.5417,93,0.797,58.7,"Arkansas","Independence County"
"AR","AR-065","Izard County",57.9917,84,0.5227,57.5,"Arkansas","Izard County"
