Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
CA-007,Butte County,60.225,108,1.4358,58.8
CA-009,Calaveras County,58.25,88,0.6198,57.6
CA-011,Colusa County,61.6,104,1.2443,60.4
CA-013,Contra Costa County,60.625,114,1.8008,58.8
CA-015,Del Norte County,52.125,101,1.2813,50.8
CA-017,El Dorado County,53.5667,74,0.2157,53.4
CA-019,Fresno County,55.7833,102,1.385,54.4
CA-021,Glenn County,60.4333,103,1.1475,59.3
CA-023,Humboldt County,54.475,112,1.5224,53
CA-025,Imperial County,72.9167,76,0.7102,72.2
CA-027,Inyo County,60.0167,76,0.4509,59.6
CA-029,Kern County,61.6583,95,1.1449,60.5
CA-031,Kings County,64.3083,111,1.8277,62.5
CA-033,Lake County,57.35,104,1.0278,56.3
CA-035,Lassen County,46.625,76,0.4916,46.1
CA-037,Los Angeles County,61.05,90,1.1728,59.9
CA-039,Madera County,56.25,96,1.1011,55.1
CA-041,Marin County,56.9,122,2.0537,54.8
CA-043,Mariposa County,55.0083,83,0.4856,54.5
CA-045,Mendocino County,56.1083,114,1.2724,54.8
CA-047,Merced County,62.9083,112,1.9018,61
CA-049,Modoc County,46.725,93,1.1528,45.6
CA-051,Mono County,43.6,74,0.3448,43.3
CA-053,Monterey County,59.1333,115,1.9262,57.2
CA-055,Napa County,59.9917,114,1.8073,58.2
CA-057,Nevada County,51.8917,68,0.1609,51.7
CA-059,Orange County,63.8917,100,1.5412,62.4
CA-061,Placer County,53.4417,77,0.4027,53
CA-063,Plumas County,47.075,77,0.2829,46.8
CA-065,Riverside County,67.6417,88,0.8581,66.8
CA-067,Sacramento County,62.8583,119,1.7597,61.1
CA-069,San Benito County,59.0833,110,1.6743,57.4
CA-071,San Bernardino County,65.5167,74,0.4655,65.1
CA-073,San Diego County,62.4333,96,1.2083,61.2
CA-075,San Francisco County,58.0333,120,2.2606,55.8
CA-077,San Joaquin County,63.0917,120,2.3419,60.7
CA-079,San Luis Obispo County,59.7333,110,1.7593,58
CA-081,San Mateo County,58.0417,123,2.6474,55.4
CA-083,Santa Barbara County,58.5583,109,1.924,56.6
CA-085,Santa Clara County,58.85,114,1.9635,56.9
CA-087,Santa Cruz County,58.5667,123,2.8989,55.7
CA-089,Shasta County,55.2583,100,0.9262,54.3
CA-091,Sierra County,46.8083,77,0.4019,46.4
CA-093,Siskiyou County,48.9583,99,1.126,47.8
CA-095,Solano County,61.6667,117,1.9192,59.7
CA-097,Sonoma County,57.8917,117,1.8058,56.1
CA-099,Stanislaus County,62.3417,118,1.9643,60.4
CA-101,Sutter County,63.3583,111,1.5542,61.8
CA-103,Tehama County,58.8333,99,0.9239,57.9
CA-105,Trinity County,52.8917,105,1.3315,51.6
CA-107,Tulare County,54.0333,88,0.819,53.2
CA-109,Tuolumne County,49.8583,76,0.2361,49.6
CA-111,Ventura County,57.6917,100,1.6729,56
CA-113,Yolo County,62.4,113,1.5091,60.9
CA-115,Yuba County,60.8833,102,1.0631,59.8
CO-001,Adams County,48.6583,61,0.1541,48.5
CO-003,Alamosa County,42.2667,77,0.4813,41.8
CO-005,Arapahoe County,48.0833,53,-0.1471,48.2
CO-007,Archuleta County,43.4917,93,0.8921,42.6
CO-009,Baca County,52.8833,49,-0.3022,53.2
CO-011,Bent County,53.2583,84,0.5568,52.7
CO-013,Boulder County,44.4083,82,0.5984,43.8
CO-014,Broomfield County,50.05,72,0.4288,49.6
CO-015,Chaffee County,37.425,58,-0.0023,37.4
CO-017,Cheyenne County,50.45,54,-0.0671,50.5
CO-019,Clear Creek County,37.3,91,0.8633,36.4
CO-021,Conejos County,40.175,84,0.8354,39.3
CO-023,Costilla County,42.3333,100,1.3969,40.9
CO-025,Crowley County,51.7917,96,0.946,50.8
CO-027,Custer County,41.4333,90,0.7916,40.6
CO-029,Delta County,46.6,96,1.571,45
CO-031,Denver County,49.8333,66,0.2065,49.6
CO-033,Dolores County,43.025,92,1.2476,41.8
CO-035,Douglas County,46.2083,54,-0.2009,46.4
CO-037,Eagle County,39.125,81,0.6448,38.5
CO-039,Elbert County,46.95,68,0.2198,46.7
CO-041,El Paso County,47.6833,88,0.6582,47
CO-043,Fremont County,45.15,69,0.2043,44.9
CO-045,Garfield County,43.0583,88,0.9671,42.1
CO-047,Gilpin County,39.075,77,0.4836,38.6
CO-049,Grand County,37.025,87,0.7337,36.3
CO-051,Gunnison County,37.5583,76,0.4553,37.1
CO-053,Hinsdale County,35.9667,103,1.6201,34.3
CO-055,Huerfano County,47.275,103,1.2724,46
CO-057,Jackson County,36.225,78,0.6158,35.6
CO-059,Jefferson County,45.5917,60,0.0183,45.6
CO-061,Kiowa County,51.675,60,0.0507,51.6
CO-063,Kit Carson County,50.45,76,0.4882,50
CO-065,Lake County,34.1583,83,0.3782,33.8
CO-067,La Plata County,44.525,97,1.0583,43.5
CO-069,Larimer County,41.95,88,1.0379,40.9
CO-071,Las Animas County,51.1583,92,0.8503,50.3
CO-073,Lincoln County,49.225,75,0.3957,48.8
CO-075,Logan County,48.6417,44,-0.2556,48.9
CO-077,Mesa County,47.3417,96,1.7501,45.6
CO-079,Mineral County,36.575,100,1.2298,35.3
CO-081,Moffat County,43.2333,82,0.8114,42.4
CO-083,Montezuma County,48.4167,94,1.0693,47.3
CO-085,Montrose County,47.425,98,1.7841,45.6
CO-087,Morgan County,49.0167,88,1.1164,47.9
CO-089,Otero County,53.1083,87,0.7172,52.4
CO-091,Ouray County,41.4333,98,1.7621,39.7
CO-093,Park County,37.7333,63,0.0342,37.7
CO-095,Phillips County,48.525,44,-0.4532,49
CO-097,Pitkin County,37.8917,94,1.0326,36.9
CO-099,Prowers County,53.0167,54,-0.0135,53
CO-101,Pueblo County,52.3167,95,1.0107,51.3
CO-103,Rio Blanco County,43.7,85,0.9802,42.7
CO-105,Rio Grande County,39.2917,86,0.8403,38.5
CO-107,Routt County,39.3583,87,0.8484,38.5
CO-109,Saguache County,38.5333,59,0.0607,38.5
CO-111,San Juan County,35.1167,104,1.8049,33.3
CO-113,San Miguel County,44.5667,95,1.4742,43.1
CO-115,Sedgwick County,48.0583,25,-0.9748,49
CO-117,Summit County,35.6083,92,0.8863,34.7
CO-119,Teller County,39.8083,69,0.1571,39.7
CO-121,Washington County,49.0917,69,0.38,48.7
CO-123,Weld County,47.45,56,-0.0317,47.5
CO-125,Yuma County,50.0417,69,0.2766,49.8
CT-001,Fairfield County,51.5417,111,2.2812,49.3
CT-003,Hartford County,49.9417,106,1.5607,48.4
CT-005,Litchfield County,47.4667,102,1.4438,46
CT-007,Middlesex County,50.6167,107,1.7273,48.9
CT-009,New Haven County,50.85,109,1.9261,48.9
CT-011,New London County,50.5833,108,1.9017,48.7
CT-013,Tolland County,48.975,108,1.5451,47.4
CT-015,Windham County,49.1,107,1.5122,47.6
DE-001,Kent County,57.1083,121,3.1092,54
DE-003,New Castle County,55.8833,116,2.6151,53.3
DE-005,Sussex County,58.4583,126,3.7142,54.7
FL-001,Alachua County,71.9,128,3.1727,68.7
FL-003,Baker County,70.3167,126,2.9431,67.4
FL-005,Bay County,70.2583,127,2.868,67.4
FL-007,Bradford County,71.4833,128,3.2682,68.2
FL-009,Brevard County,74.3333,125,2.7097,71.6
FL-011,Broward County,77.475,127,3.4417,74
FL-013,Calhoun County,69.75,127,2.9133,66.8
FL-015,Charlotte County,75.8167,127,3.025,72.8
FL-017,Citrus County,72.8083,126,3.0378,69.8
FL-019,Clay County,72.0667,128,3.687,68.4
FL-021,Collier County,76.7083,127,2.7664,73.9
FL-023,Columbia County,70.0583,125,2.4938,67.6
FL-027,DeSoto County,74.9417,127,2.8882,72.1
FL-029,Dixie County,71.1083,127,3.0137,68.1
FL-031,Duval County,71.5333,128,3.5573,68
FL-033,Escambia County,69.075,124,2.062,67
FL-035,Flagler County,73.1417,128,3.6818,69.5
FL-037,Franklin County,70.75,127,3.0253,67.7
FL-039,Gadsden County,69.575,127,2.8317,66.7
FL-041,Gilchrist County,71.1333,127,3.044,68.1
FL-043,Glades County,75.1833,125,2.6328,72.6
FL-045,Gulf County,70.45,126,3.1633,67.3
FL-047,Hamilton County,69.1333,124,2.0549,67.1
FL-049,Hardee County,74.7583,127,3.1548,71.6
FL-051,Hendry County,75.8,126,2.6552,73.1
FL-053,Hernando County,73.5333,126,3.4855,70
FL-055,Highlands County,74.8167,125,2.8702,71.9
FL-057,Hillsborough County,74.9417,127,3.6748,71.3
FL-059,Holmes County,68.8167,128,2.3786,66.4
FL-061,Indian River County,74.6,125,2.9138,71.7
FL-063,Jackson County,69.6,128,2.6307,67
FL-065,Jefferson County,69.875,126,2.862,67
FL-067,Lafayette County,70.3667,127,2.7834,67.6
FL-069,Lake County,73.6917,126,3.311,70.4
FL-071,Lee County,76.2583,126,2.8463,73.4
FL-073,Leon County,69.8917,127,2.8804,67
FL-075,Levy County,72.125,126,3.4004,68.7
FL-077,Liberty County,69.9417,126,2.9975,66.9
FL-079,Madison County,69.55,126,2.6334,66.9
FL-081,Manatee County,74.7833,127,3.0923,71.7
FL-083,Marion County,72.5417,126,3.065,69.5
FL-085,Martin County,76.6667,128,3.7929,72.9
FL-086,Miami-Dade County,77.9917,127,3.6632,74.3
FL-087,Monroe County,78.525,127,3.6095,74.9
FL-089,Nassau County,70.6583,127,3.3214,67.3
FL-091,Okaloosa County,68.8667,127,2.2575,66.6
FL-093,Okeechobee County,75.1,126,3.0866,72
FL-095,Orange County,74.4333,126,3.1175,71.3
FL-097,Osceola County,74.825,127,3.1632,71.7
FL-099,Palm Beach County,76.8667,128,3.4707,73.4
FL-101,Pasco County,74.1,127,3.6902,70.4
FL-103,Pinellas County,75.225,126,3.3223,71.9
FL-105,Polk County,75.0333,127,3.5371,71.5
FL-107,Putnam County,72.8,128,3.6389,69.2
FL-109,St. Johns County,72.7333,128,3.9582,68.8
FL-111,St. Lucie County,75.6917,128,3.2832,72.4
FL-113,Santa Rosa County,68.8167,125,1.8675,66.9
FL-115,Sarasota County,75.1667,128,2.8517,72.3
FL-117,Seminole County,74.0833,126,2.9222,71.2
FL-119,Sumter County,73.15,126,3.091,70.1
FL-121,Suwannee County,69.9417,125,2.4442,67.5
FL-123,Taylor County,70.6,127,2.9912,67.6
FL-125,Union County,70.8583,128,2.9102,67.9
FL-127,Volusia County,73.425,126,3.0765,70.3
FL-129,Wakulla County,70.35,127,2.8862,67.5
FL-131,Walton County,69.025,127,2.5359,66.5
FL-133,Washington County,69.4083,127,2.5262,66.9
GA-001,Appling County,68.725,128,2.8502,65.9
GA-003,Atkinson County,68.7917,128,2.8028,66
GA-005,Bacon County,68.7833,128,2.8215,66
GA-007,Baker County,68.9917,128,2.8707,66.1
GA-009,Baldwin County,66.2917,127,2.9837,63.3
GA-011,Banks County,62.8417,127,2.4943,60.3
GA-013,Barrow County,63.1167,127,2.5808,60.5
GA-015,Bartow County,62.3167,124,2.1378,60.2
GA-017,Ben Hill County,68.5167,128,3.4245,65.1
GA-019,Berrien County,68.2,128,2.4394,65.8
GA-021,Bibb County,66.525,128,3.1118,63.4
GA-023,Bleckley County,67.425,128,2.9967,64.4
GA-025,Brantley County,69.3833,126,3.274,66.1
GA-027,Brooks County,68.325,125,2.1262,66.2
GA-029,Bryan County,69.1417,128,3.1384,66
GA-031,Bulloch County,68.1333,128,3.1166,65
GA-033,Burke County,66.825,128,3.3502,63.5
GA-035,Butts County,65.3417,128,3.5089,61.8
GA-037,Calhoun County,68.4583,128,2.8487,65.6
GA-039,Camden County,70.0583,128,3.0647,67
GA-043,Candler County,68.0083,128,3.01,65
GA-045,Carroll County,63.325,128,3.5343,59.8
GA-047,Catoosa County,62.4083,127,3.1124,59.3
GA-049,Charlton County,70.0417,126,3.2629,66.8
GA-051,Chatham County,69.3583,128,3.2718,66.1
GA-053,Chattahoochee County,66.4917,127,2.4257,64.1
GA-055,Chattooga County,62.1917,126,2.2815,59.9
GA-057,Cherokee County,61.7917,126,2.3373,59.5
GA-059,Clarke County,63.55,126,2.5915,61
GA-061,Clay County,67.8083,128,2.4576,65.4
GA-063,Clayton County,64.5,128,3.3787,61.1
GA-065,Clinch County,68.9917,125,2.4838,66.5
GA-067,Cobb County,63.3,128,3.1888,60.1
GA-069,Coffee County,68.6833,128,3.0525,65.6
GA-071,Colquitt County,67.9167,126,2.2436,65.7
GA-073,Columbia County,65.85,128,3.0862,62.8
GA-075,Cook County,67.9,125,2.092,65.8
GA-077,Coweta County,64.7083,128,3.7365,61
GA-079,Crawford County,66.1667,128,2.9864,63.2
GA-081,Crisp County,68.1333,128,3.6317,64.5
GA-083,Dade County,60.9667,126,2.4287,58.5
GA-085,Dawson County,60.3917,126,2.1653,58.2
GA-087,Decatur County,69.3833,128,2.7424,66.6
GA-089,DeKalb County,63.9083,128,3.357,60.6
GA-091,Dodge County,67.9917,128,3.147,64.8
GA-093,Dooly County,67.7083,128,3.4527,64.3
GA-095,Dougherty County,68.8083,128,3.0325,65.8
GA-097,Douglas County,63.7667,128,3.6881,60.1
GA-099,Early County,68.7,128,2.6527,66
GA-101,Echols County,68.725,123,2.0193,66.7
GA-103,Effingham County,68.2333,128,3.1041,65.1
GA-105,Elbert County,63.5917,125,2.7083,60.9
GA-107,Emanuel County,67.2917,128,2.8278,64.5
GA-109,Evans County,68.625,128,2.9662,65.7
GA-111,Fannin County,58.1917,126,2.1992,56
GA-113,Fayette County,64.8667,128,3.6327,61.2
GA-115,Floyd County,62.4833,122,2.0727,60.4
GA-117,Forsyth County,61.6667,127,2.4072,59.3
GA-119,Franklin County,62.975,127,2.5123,60.5
GA-121,Fulton County,63.7917,128,3.494,60.3
GA-123,Gilmer County,59,125,2.0414,57
GA-125,Glascock County,65.4917,128,2.6499,62.8
GA-127,Glynn County,69.9333,128,2.9636,67
GA-129,Gordon County,62.2167,125,2.1707,60
GA-131,Grady County,69.1167,128,2.7318,66.4
GA-133,Greene County,64.5167,128,2.6634,61.9
GA-135,Gwinnett County,62.8833,128,2.8068,60.1
GA-137,Habersham County,60.75,126,2.3037,58.4
GA-139,Hall County,61.9833,126,2.4345,59.5
GA-141,Hancock County,65.35,127,2.6417,62.7
GA-143,Haralson County,62.4167,127,3.1475,59.3
GA-145,Harris County,65.125,128,2.6546,62.5
GA-147,Hart County,63.2333,127,2.8674,60.4
GA-149,Heard County,64,128,3.166,60.8
GA-151,Henry County,64.775,128,3.2759,61.5
GA-153,Houston County,67.2,128,3.1178,64.1
GA-155,Irwin County,68.375,128,3.1802,65.2
GA-157,Jackson County,63.15,127,2.5642,60.6
GA-159,Jasper County,65.5333,128,3.7629,61.8
GA-161,Jeff Davis County,68.475,128,3.0189,65.5
GA-163,Jefferson County,66.0083,128,2.7221,63.3
GA-165,Jenkins County,67.225,128,3.3564,63.9
GA-167,Johnson County,66.725,128,2.5819,64.1
GA-169,Jones County,66.1833,128,3.375,62.8
GA-171,Lamar County,65.3833,128,3.3596,62
GA-173,Lanier County,68.2667,125,2.1722,66.1
GA-175,Laurens County,67.5667,128,2.9313,64.6
GA-177,Lee County,68.325,128,3.1374,65.2
GA-179,Liberty County,69.3333,128,3.0323,66.3
GA-181,Lincoln County,64.65,126,2.5466,62.1
GA-183,Long County,69.2667,128,2.9634,66.3
GA-185,Lowndes County,68.1667,123,1.9202,66.2
GA-187,Lumpkin County,59.6167,127,2.2519,57.4
GA-189,McDuffie County,65.2,128,2.8552,62.3
GA-191,McIntosh County,69.8,128,2.9883,66.8
GA-193,Macon County,66.9667,128,3.0769,63.9
GA-195,Madison County,63.0417,125,2.5055,60.5
GA-197,Marion County,66.0833,128,2.5391,63.5
GA-199,Meriwether County,64.8083,128,3.176,61.6
GA-201,Miller County,69.075,128,2.7484,66.3
GA-205,Mitchell County,68.8333,128,2.7678,66.1
GA-207,Monroe County,65.7583,128,3.3497,62.4
GA-209,Montgomery County,68.2667,128,3.0693,65.2
GA-211,Morgan County,64.8167,128,3.2755,61.5
GA-213,Murray County,61.4917,127,2.456,59
GA-215,Muscogee County,66.325,127,2.5356,63.8
GA-217,Newton County,64.625,128,3.3826,61.2
GA-219,Oconee County,63.8667,127,2.6839,61.2
GA-221,Oglethorpe County,63.5833,125,2.4963,61.1
GA-223,Paulding County,62.9167,128,3.0728,59.8
GA-225,Peach County,66.6,128,3.0467,63.6
GA-227,Pickens County,60.4583,125,2.0287,58.4
GA-229,Pierce County,69.2667,127,3.1319,66.1
GA-231,Pike County,65.2417,128,3.3423,61.9
GA-233,Polk County,62.7833,126,2.748,60
GA-235,Pulaski County,67.75,128,3.1518,64.6
GA-237,Putnam County,65.7667,128,3.4604,62.3
GA-239,Quitman County,67.0583,127,2.2346,64.8
GA-241,Rabun County,58.6417,127,2.451,56.2
GA-243,Randolph County,67.3833,128,2.6033,64.8
GA-245,Richmond County,66.8917,128,3.5464,63.3
GA-247,Rockdale County,64.2417,128,3.203,61
GA-249,Schley County,66.6167,128,2.7857,63.8
GA-251,Screven County,67.3417,128,3.1926,64.1
GA-253,Seminole County,69.4667,128,2.7379,66.7
GA-255,Spalding County,65.225,128,3.3432,61.9
GA-257,Stephens County,62.425,125,2.1809,60.2
GA-259,Stewart County,66.6167,128,2.4043,64.2
GA-261,Sumter County,67.4833,128,3.0307,64.5
GA-263,Talbot County,65.3,128,2.5764,62.7
GA-265,Taliaferro County,64.2833,127,2.4007,61.9
GA-267,Tattnall County,68.7333,128,2.8872,65.8
GA-269,Taylor County,66,128,2.7329,63.3
GA-271,Telfair County,68.5083,128,3.2451,65.3
GA-273,Terrell County,67.8917,128,2.8962,65
GA-275,Thomas County,68.7083,127,2.5021,66.2
GA-277,Tift County,67.9,128,2.6588,65.2
GA-279,Toombs County,68.4333,128,2.9678,65.5
GA-281,Towns County,57.8,128,2.6444,55.2
GA-283,Treutlen County,67.7167,128,2.8738,64.8
GA-285,Troup County,64.5,128,2.8681,61.6
GA-287,Turner County,67.9667,128,3.2484,64.7
GA-289,Twiggs County,66.9417,128,2.9859,64
GA-291,Union County,57.825,127,2.3942,55.4
GA-293,Upson County,65.4833,128,3.0189,62.5
GA-295,Walker County,61.8917,127,2.8764,59
GA-297,Walton County,63.7417,127,2.9252,60.8
GA-299,Ware County,69.4583,127,3.0387,66.4
GA-301,Warren County,64.9333,128,2.6146,62.3
GA-303,Washington County,66.1833,127,2.5696,63.6
GA-305,Wayne County,69.1667,128,3.0148,66.2
GA-307,Webster County,66.7917,128,2.6376,64.2
GA-309,Wheeler County,68.3833,128,3.1411,65.2
GA-311,White County,59.8,127,2.297,57.5
GA-313,Whitfield County,62.3667,127,2.9277,59.4
GA-315,Wilcox County,68.1917,128,3.4468,64.7
GA-317,Wilkes County,64.0167,126,2.4525,61.6
GA-319,Wilkinson County,66.8417,128,2.8423,64
GA-321,Worth County,68.0667,128,2.8715,65.2
ID-001,Ada County,51.375,74,0.4111,51
ID-003,Adams County,42.8917,56,0.0019,42.9
ID-005,Bannock County,44.3917,73,0.3851,44
ID-007,Bear Lake County,39.35,57,0.0968,39.3
ID-009,Benewah County,45.3,81,0.6178,44.7
ID-011,Bingham County,43.7,72,0.2744,43.4
ID-013,Blaine County,41.2917,61,0.1435,41.1
ID-015,Boise County,43.2083,79,0.5492,42.7
ID-017,Bonner County,43.0417,74,0.4838,42.6
ID-019,Bonneville County,41.2417,64,0.3403,40.9
ID-021,Boundary County,41.0083,86,0.8501,40.2
ID-023,Butte County,40.5,57,-0.0708,40.6
ID-025,Camas County,41.025,83,0.8442,40.2
ID-027,Canyon County,51.6417,74,0.4103,51.2
ID-029,Caribou County,40.7583,51,-0.0992,40.9
ID-031,Cassia County,45.2583,59,0.1132,45.1
ID-033,Clark County,39.225,67,0.2394,39
ID-035,Clearwater County,43.4917,82,0.4628,43
ID-037,Custer County,37.625,73,0.568,37.1
ID-039,Elmore County,47.1917,100,1.2047,46
ID-041,Franklin County,43.475,76,0.5135,43
ID-043,Fremont County,39.1,80,0.6171,38.5
ID-045,Gem County,48.6083,62,0.1835,48.4
ID-047,Gooding County,48.7833,100,1.3324,47.5
ID-049,Idaho County,41.25,73,0.3688,40.9
ID-051,Jefferson County,42.925,84,0.8193,42.1
ID-053,Jerome County,48.75,99,1.2597,47.5
ID-055,Kootenai County,44.9417,75,0.3672,44.6
ID-057,Latah County,45.5917,72,0.2256,45.4
ID-059,Lemhi County,38.7833,77,0.5499,38.2
ID-061,Lewis County,44.5583,44,-0.3152,44.9
ID-063,Lincoln County,46.6167,99,1.4194,45.2
ID-065,Madison County,42.4667,92,1.0215,41.4
ID-067,Minidoka County,45.7,74,0.4845,45.2
ID-069,Nez Perce County,47.8833,56,-0.0708,48
ID-071,Oneida County,44.625,40,-0.2742,44.9
ID-073,Owyhee County,46.9667,57,0.1678,46.8
ID-075,Payette County,51.3167,86,0.9212,50.4
ID-077,Power County,44.5417,40,-0.2419,44.8
ID-079,Shoshone County,42.1917,78,0.3802,41.8
ID-081,Teton County,39.5833,91,0.9869,38.6
ID-083,Twin Falls County,46.5917,44,-0.206,46.8
ID-085,Valley County,39.0667,88,0.8337,38.2
ID-087,Washington County,47.175,54,-0.0395,47.2
IL-001,Adams County,52.475,64,0.0761,52.4
IL-003,Alexander County,58.1917,107,1.4118,56.8
IL-005,Bond County,54.475,81,0.5025,54
IL-007,Boone County,47.275,56,0.0307,47.2
IL-009,Brown County,52.3,71,0.1763,52.1
IL-011,Bureau County,48.9083,57,-0.0283,48.9
IL-013,Calhoun County,54.2167,78,0.4101,53.8
IL-015,Carroll County,47.9833,86,0.6468,47.3
IL-017,Cass County,52.1167,56,-0.1242,52.2
IL-019,Champaign County,51.6333,87,0.7717,50.9
IL-021,Christian County,52.7083,71,0.257,52.5
IL-023,Clark County,53.65,89,0.9482,52.7
IL-025,Clay County,55,97,1.0882,53.9
IL-027,Clinton County,55.5333,93,0.9283,54.6
IL-029,Coles County,52.9167,85,0.7087,52.2
IL-031,Cook County,49.3833,76,0.5352,48.8
IL-033,Crawford County,54.7417,96,1.1465,53.6
IL-035,Cumberland County,53.5583,89,0.7239,52.8
IL-037,DeKalb County,47.8167,56,0.0017,47.8
IL-039,De Witt County,51.7083,89,0.8876,50.8
IL-041,Douglas County,52.5333,90,0.9228,51.6
IL-043,DuPage County,48.9333,72,0.4571,48.5
IL-045,Edgar County,52.3333,74,0.4553,51.9
IL-047,Edwards County,56.2167,102,1.3106,54.9
IL-049,Effingham County,53.7667,87,0.6378,53.1
IL-051,Fayette County,53.85,75,0.3504,53.5
IL-053,Ford County,50.6583,83,0.5818,50.1
IL-055,Franklin County,56.2583,96,1.0216,55.2
IL-057,Fulton County,51.3417,60,0.0442,51.3
IL-059,Gallatin County,56.625,78,0.4784,56.1
IL-061,Greene County,53.6833,70,0.1632,53.5
IL-063,Grundy County,50.0333,83,0.78,49.3
IL-065,Hamilton County,56.3333,97,1.1249,55.2
IL-067,Hancock County,51.575,58,-0.0929,51.7
IL-069,Hardin County,57.1833,91,0.8688,56.3
IL-071,Henderson County,50.5417,56,-0.0875,50.6
IL-073,Henry County,49.0917,58,-0.0448,49.1
IL-075,Iroquois County,50.8833,90,0.8757,50
IL-077,Jackson County,56.4417,94,1.0461,55.4
IL-079,Jasper County,54.375,92,0.9186,53.5
IL-081,Jefferson County,55.8083,97,0.9653,54.8
IL-083,Jersey County,54.425,77,0.3861,54
IL-085,Jo Daviess County,46.8167,58,-0.0201,46.8
IL-087,Johnson County,56.95,92,0.9666,56
IL-089,Kane County,48.0667,60,0.1088,48
IL-091,Kankakee County,50.2417,82,0.6892,49.6
IL-093,Kendall County,49.1833,68,0.2908,48.9
IL-095,Knox County,49.7333,54,-0.1201,49.9
IL-097,Lake County,47.8417,67,0.2358,47.6
IL-099,LaSalle County,49.2917,70,0.1947,49.1
IL-101,Lawrence County,55.4833,95,1.12,54.4
IL-103,Lee County,48.35,73,0.281,48.1
IL-105,Livingston County,49.975,76,0.3318,49.6
IL-107,Logan County,52.0917,82,0.5238,51.6
IL-109,McDonough County,50.95,57,-0.1296,51.1
IL-111,McHenry County,47.4167,72,0.3213,47.1
IL-113,McLean County,50.8583,89,0.8554,50
IL-115,Macon County,52.2917,85,0.6209,51.7
IL-117,Macoupin County,53.4083,70,0.2192,53.2
IL-119,Madison County,54.975,76,0.3401,54.6
IL-121,Marion County,54.925,90,0.7977,54.1
IL-123,Marshall County,50.1917,78,0.4251,49.8
IL-125,Mason County,52.1167,69,0.1452,52
IL-127,Massac County,58.1,96,1.2814,56.8
IL-129,Menard County,51.9917,62,-0.0595,52.1
IL-131,Mercer County,49.4917,49,-0.2903,49.8
IL-133,Monroe County,56.6667,100,1.2288,55.4
IL-135,Montgomery County,53.1833,69,0.1623,53
IL-137,Morgan County,52.4083,62,0.0598,52.3
IL-139,Moultrie County,52.55,85,0.5511,52
IL-141,Ogle County,48.05,75,0.4972,47.6
IL-143,Peoria County,51.0167,83,0.6502,50.4
IL-145,Perry County,56,93,0.9683,55
IL-147,Piatt County,51.9583,91,0.8703,51.1
IL-149,Pike County,53.15,73,0.256,52.9
IL-151,Pope County,57.075,86,0.8394,56.2
IL-153,Pulaski County,58.2167,106,1.4039,56.8
IL-155,Putnam County,49.7083,55,-0.0588,49.8
IL-157,Randolph County,56.325,95,1.0993,55.2
IL-159,Richland County,55.2583,96,1.0261,54.2
IL-161,Rock Island County,49.1833,55,-0.1607,49.3
IL-163,St. Clair County,56.0583,90,0.8769,55.2
IL-165,Saline County,56.475,82,0.6958,55.8
IL-167,Sangamon County,52.275,59,-0.0077,52.3
IL-169,Schuyler County,51.8917,60,0.0288,51.9
IL-171,Scott County,52.95,63,0.0701,52.9
IL-173,Shelby County,52.9417,71,0.3182,52.6
IL-175,Stark County,49.4917,58,0.0633,49.4
IL-177,Stephenson County,47.1,74,0.388,46.7
IL-179,Tazewell County,51.725,89,0.9455,50.8
IL-181,Union County,57.075,100,1.2269,55.8
IL-183,Vermilion County,51.3667,76,0.3083,51.1
IL-185,Wabash County,56.0583,97,1.1228,54.9
IL-187,Warren County,49.8,52,-0.2679,50.1
IL-189,Washington County,55.6,92,0.8186,54.8
IL-191,Wayne County,56.1917,103,1.527,54.7
IL-193,White County,56.375,84,0.7869,55.6
IL-195,Whiteside County,48.725,74,0.307,48.4
IL-197,Will County,49.7417,71,0.4534,49.3
IL-199,Williamson County,56.4167,92,0.9845,55.4
IL-201,Winnebago County,47.5583,69,0.1912,47.4
IL-203,Woodford County,50.775,92,1.0318,49.7
IN-001,Adams County,50.9667,104,1.4261,49.5
IN-003,Allen County,50.3583,92,1.0745,49.3
IN-005,Bartholomew County,54.25,96,1.3343,52.9
IN-007,Benton County,50.3167,77,0.5112,49.8
IN-009,Blackford County,51.7167,103,1.3576,50.4
IN-011,Boone County,51.15,92,0.9949,50.2
IN-013,Brown County,53.4083,96,1.1969,52.2
IN-015,Carroll County,50.7833,83,0.6028,50.2
IN-017,Cass County,50.4167,82,0.6359,49.8
IN-019,Clark County,56.8,122,2.4512,54.3
IN-021,Clay County,53.575,98,1.3952,52.2
IN-023,Clinton County,50.925,85,0.8197,50.1
IN-025,Crawford County,55.3417,93,0.9495,54.4
IN-027,Daviess County,55.2583,108,1.6201,53.6
IN-029,Dearborn County,54.8,117,2.0528,52.7
IN-031,Decatur County,53.525,96,1.1867,52.3
IN-033,DeKalb County,49.05,80,0.5719,48.5
IN-035,Delaware County,52.5667,116,2.0148,50.6
IN-037,Dubois County,55.3667,99,1.1313,54.2
IN-039,Elkhart County,49.1583,95,1.0356,48.1
IN-041,Fayette County,52.55,104,1.4426,51.1
IN-043,Floyd County,56.9167,122,2.4409,54.5
IN-045,Fountain County,51.2,72,0.2936,50.9
IN-047,Franklin County,53.4,103,1.4942,51.9
IN-049,Fulton County,49.8417,88,0.9202,48.9
