"CountyName","StateAbbr","LocationName","asset_id","asset_latitude","asset_longitude","CountyFIPS","AsthmaRate","h_TotalPopulation","SmokingRate","h_latitude","h_longitude","emissions_per_sq_mile","ALAND_SQMI","PopulationDensity","Temp","StateDesc","asset_name","County","Population"
"lyon","KY",21143960200,1833547611,37,-88,21143,9.5,1870,21.1,36.99832195,-87.98442609,0.00143041912482353,213.842,38,58.5417,"Kentucky","United States_Kentucky_","lyon county",8210
"harris","TX",48201398925.75,1833578488.25,29.875,-95.375,48201,9,4321,17.65,29.87898665,-95.3827254625,0.00227393457181075,1706.151,2763,70.35,"Texas","United States_Texas_","harris county",4713325
"wilson","TN",47189030451.5,1833577264,36.25,-86.375,47189,9.9,3854.5,20.65,36.21691981,-86.37020381,0.00182921645924731,571.088,253,60.3083,"Tennessee","United States_Tennessee_","wilson county",144657
"new madrid","MO",29143960250,1833544060,36.625,-89.625,29143,11.25,3534,27.6,36.6528538,-89.627024225,0.119014715564684,674.858,25,59.3417,"Missouri","United States_Missouri_","new madrid county",17076
"hempstead","AR",5057480250,1833550062,33.75,-93.625,5057,10.75,4239,22.55,33.692575335,-93.666026445,0.000996598133434447,727.521,30,62.9083,"Arkansas","United States_Arkansas_","hempstead county",21532
"stark","ND",38089964000,1833549523,46.75,-103,38089,9.1,1678,21.7,46.7932774,-103.096253,0.0053359239992995,1334.913,24,39.1667,"North Dakota","United States_North Dakota_","stark county",31489
"morris","KS",20127963633.3333,1833546394.33333,38.6666666666667,-96.6666666666667,20127,9.3,3110,17.6666666666667,38.6933628766667,-96.5960116266667,0.0164466699216148,695.343,8,53.625,"Kansas","United States_Kansas_","morris county",5620
"rusk","WI",55107960200,1833603393.5,45.5,-91.375,55107,10,2028,19.9,45.50157648,-91.40987771,0.00463543043120394,913.553,16,39.7417,"Wisconsin","United States_Wisconsin_","rusk county",14178
"cerro gordo","IA",19033950634,1833545929.66667,43.1666666666667,-93.3333333333333,19033,8.36666666666667,4185,17.9666666666667,43.10832098,-93.2895416433333,0.0171873318474622,568.3,75,44.425,"Iowa","United States_Iowa_","cerro gordo county",42450
"miami","OH",39109365302,1833545961,40,-84.25,39109,9,5866,16.8,40.00929829,-84.23234621,0.00384998436491927,406.513,263,53.125,"Ohio","United States_Ohio_","miami county",106987
"charlotte","FL",12015010100,1833543431,27,-81.75,12015,8.6,3837,22.1,26.90411899,-81.75758331,0.00302790435993098,681.107,277,75.8167,"Florida","United States_Florida_","charlotte county",188910
"humboldt","IA",19091970250,1833545559,42.75,-94.125,19091,8.5,2492.5,18,42.749874105,-94.16469254,0.00409059083863951,434.371,22,45.15,"Iowa","United States_Iowa_","humboldt county",9558
"fillmore","NE",31059091650,1833546982.5,40.5,-97.625,31059,7.95,2945,16.05,40.52480135,-97.59241701,0.00141762971726536,575.371,9,49.9583,"Nebraska","United States_Nebraska_","fillmore county",5462
"franklin","TN",47051960367,1833548286.66667,35.1666666666667,-86.1666666666667,47051,10.0333333333333,4246.66666666667,24.5,35.19277631,-86.15340105,0.00141512029773676,554.495,76,59.9167,"Tennessee","United States_Tennessee_","franklin county",42208
"webster","NE",31181965000,1833553365,40.25,-98.5,31181,7.9,1974,14.2,40.25277478,-98.49431428,0.00321614419260966,574.913,6,50.525,"Nebraska","United States_Nebraska_","webster county",3487
"minidoka","ID",16067970200,1833554752.5,42.75,-113.625,16067,9.55,3165,16.15,42.80041278,-113.7094198,0.00739611545713862,756.996,28,45.7,"Idaho","United States_Idaho_","minidoka county",21039
"sherman","TX",48421950200,1833543997,36.25,-101.75,48421,8.6,3034,19.2,36.27770844,-101.8934714,0.00934189648886673,922.86,3,56.6417,"Texas","United States_Texas_","sherman county",3022
"towner","ND",38095951500,1833545020.66667,48.6666666666667,-99.1666666666667,38095,8.7,2246,18.4,48.68556212,-99.24586885,0.0217582525880988,1024.909,2,35.9917,"North Dakota","United States_North Dakota_","towner county",2189
"leavenworth","KS",20103071200,1833552034.5,39.125,-95,20103,9.25,3822.5,17.3,39.139006235,-95.063410185,0.001418772329383,463.405,176,54.1,"Kansas","United States_Kansas_","leavenworth county",81758
"baltimore","MD",24005411201,1833544422,39.5,-76.5,24005,8.7,3205,12.7,39.4911431,-76.47519451,0.00421087653394737,339.6535,4357.5,56.52915,"Maryland","United States_Maryland_","baltimore city",593490
"pamlico","NC",37137950201,1833543895,35,-76.75,37137,9.6,3885,19.6,35.05499849,-76.78795153,0.000142187421474366,336.506,38,64.7083,"North Carolina","United States_North Carolina_","pamlico county",12726
"huron","MI",26063950680,1833554882.6,43.85,-82.95,26063,10.56,3179.8,21.04,43.811823608,-82.964700116,0.00645751262810935,836.021,37,45.4917,"Michigan","United States_Michigan_","huron county",30981
"white","IL",17193958350,1833548726,38.125,-88.25,17193,9.6,2996.5,20.5,38.05653918,-88.24163795,0.0031645122401211,494.983,27,56.375,"Illinois","United States_Illinois_","white county",13537
"webster","LA",22119032100,1833543652,32.5,-93.25,22119,9.9,7135,24.1,32.51862611,-93.25422303,0.0010674064030779,593.183,65,65.5667,"Louisiana","United States_Louisiana_","webster parish",38340
"simpson","KY",21213970300,1833545841,36.75,-86.625,21213,9.9,5262,23.6,36.732756875,-86.59186381,0.000443489771882265,234.205,79,58.975,"Kentucky","United States_Kentucky_","simpson county",18572
"avoyelles","LA",22009030500,1833546540,31.0833333333333,-92.0833333333333,22009,10.1,5207.66666666667,26.1,31.0517461966667,-92.1231483033333,0.0263322483136862,832.035,48,67.3333,"Louisiana","United States_Louisiana_","avoyelles parish",40144
"lonoke","AR",5085020520.8,1833543839.4,34.7,-91.85,5085,10.18,3257,24.18,34.68820317,-91.871673352,0.048663246295079,771.374,95,62.25,"Arkansas","United States_Arkansas_","lonoke county",73309
"le sueur","MN",27079950100,1833546751,44.5,-93.75,27079,9.1,7001,17.4,44.47248631,-93.72958312,0.00211826737859336,448.67,64,42.75,"Minnesota","United States_Minnesota_","le sueur county",28887
"st. francis","AR",5123960300,1833543869,35,-90.75,5123,11.0333333333333,3015,23.6666666666667,35.01972286,-90.7617501866667,0.0369642269816536,634.759,39,62.425,"Arkansas","United States_Arkansas_","st. francis county",24994
"johnson","MO",29101960433.3333,1833546795.33333,38.75,-93.75,29101,10.8333333333333,5884,20,38.74742328,-93.7738239566667,0.00242546014102223,829.26,65,54.5833,"Missouri","United States_Missouri_","johnson county",54062
"mason","IL",17125956600,1833546000.5,40.25,-89.875,17125,9.4,2627,19.8,40.25723023,-89.914208175,0.00635893438556557,539.352,25,52.1167,"Illinois","United States_Illinois_","mason county",13359
"webster","KY",21233960200,1833548942,37.5,-87.75,21233,10.2,2606,26.8,37.54097045,-87.69751438,0.00392042112093994,332.099,39,57.9167,"Kentucky","United States_Kentucky_","webster county",12942
"chicot","AR",5017080233.33333,1833546687,33.25,-91.3333333333333,5017,11.7666666666667,2894,26,33.2943194533333,-91.3207784666667,0.0334931716320366,644.727,16,64.7083,"Arkansas","United States_Arkansas_","chicot county",10118
"belmont","OH",39013010851,1833555295.5,40,-81.125,39013,10.15,4560.5,24.25,40.008651985,-81.088629275,0.000181298573397346,532.126,126,52.35,"Ohio","United States_Ohio_","belmont county",67006
"sherman","KS",20181453600,1833561186,39.5,-101.75,20181,9.3,1119,17.7,39.35185811,-101.720621,0.00340978912953391,1056.064,6,50.9667,"Kansas","United States_Kansas_","sherman county",5917
"houston","TX",48225950150,1833567552.5,31.375,-95.625,48225,9.6,3147,21.45,31.36871718,-95.53183788,0.000708607910837433,1231.001,19,66.175,"Texas","United States_Texas_","houston county",22968
"flathead","MT",30029000951,1833578052.5,48.125,-114.25,30029,9.25,3662,14.4,48.174987975,-114.2026419,0.0366975520573492,5087.198,20,38.8833,"Montana","United States_Montana_","flathead county",103806
"polk","MO",29167960250,1833555584,37.625,-93.375,29167,10.525,7784.25,23.275,37.61757766,-93.4022346925,0.00344890279484877,635.527,51,56.2583,"Missouri","United States_Missouri_","polk county",32149
"oktibbeha","MS",28105950100,1833552668,33.5,-88.75,28105,10.9,7611,16.1,33.49850717,-88.73885128,0.000216567221798272,458.239,108,64.925,"Mississippi","United States_Mississippi_","oktibbeha county",49587
"gilmer","GA",13123080200,1833614069,34.75,-84.5,13123,9.3,5599,19.9,34.77835318,-84.5210319,0.00163205186133422,426.213,74,59,"Georgia","United States_Georgia_","gilmer county",31369
"watauga","NC",37189920701,1833544017,36.25,-81.5,37189,9.1,2158,17.7,36.25239105,-81.55665115,0.00395622818848453,312.44,180,52.75,"North Carolina","United States_North Carolina_","watauga county",56177
"york","PA",42133022510,1833545188,39.875,-76.75,42133,10.1,6490.5,19.8,39.88376331,-76.73216521,0.000545586301611485,904.367,497,53.7833,"Pennsylvania","United States_Pennsylvania_","york county",449058
"loudon","TN",47105060501,1833560874,35.75,-84.25,47105,8.5,8664,14.7,35.70688942,-84.2789862,0.00172189251892792,229.272,236,60.9,"Tennessee","United States_Tennessee_","loudon county",54068
"taylor","FL",12123950300,1833613894,30,-83.75,12123,11.1,6040,29.4,30.08012299,-83.58954795,0.0018916133650206,1043.318,21,70.6,"Florida","United States_Florida_","taylor county",21569
